matchid,teamid,win,kda,totdmgdealt,totdmgtochamp,totdmgtaken,goldearned,goldspent,totminionskilled,neutralminionskilled,champlvl,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills,duration
137099,200,0.0,1.6057142857142856,92695.4,10538.0,20747.8,9473.0,9011.0,112.8,25.2,12.8,1,1,0,0,0,0,4,0,0,0,0,1782
137100,100,0.0,1.0333333333333334,121661.2,10246.6,14518.2,7928.6,7345.0,92.0,14.4,12.4,0,1,0,0,0,0,2,0,0,0,0,1522
137100,200,1.0,1.1923809523809523,86998.8,12503.0,14195.4,9953.8,8706.0,95.2,15.6,13.0,1,0,1,0,1,0,8,1,0,1,0,1522
137101,100,1.0,1.2428571428571429,104903.2,12484.2,10775.6,9760.6,8100.0,131.2,19.8,13.8,0,1,0,0,1,0,6,0,0,2,0,1597
137101,200,0.0,1.05,87539.0,6150.4,16904.4,7718.6,7060.0,128.0,16.8,12.6,1,0,0,0,0,0,0,0,0,0,0,1597
137102,100,1.0,1.75,125474.0,18248.2,22669.6,14428.6,12815.0,142.6,19.4,16.4,0,1,1,1,0,0,10,2,2,1,0,2105
137102,200,0.0,1.8323076923076929,127772.6,15975.0,23613.8,11875.0,11285.0,133.4,23.6,14.8,1,0,0,0,1,0,2,0,0,2,0,2105
137103,100,0.0,2.038095238095238,123599.4,18218.2,31657.4,12052.6,11010.0,142.8,29.0,15.4,1,0,0,0,0,0,2,0,0,2,0,2122
137103,200,1.0,2.072142857142857,148341.8,26772.6,24363.2,14020.8,13050.0,133.2,27.8,15.8,0,1,1,1,1,0,8,1,2,2,0,2122
137104,100,1.0,1.3745421245421243,152969.0,21833.4,22607.8,13701.8,12638.0,151.0,29.4,16.2,1,1,1,0,0,0,10,2,0,2,0,2078
137104,200,0.0,1.8753968253968247,178523.8,15263.4,24245.0,10996.0,10364.0,124.6,18.8,15.0,0,0,0,0,1,0,2,0,0,2,0,2078
137105,100,1.0,3.025,73835.0,11480.6,12969.4,9361.2,7830.0,83.0,13.8,11.6,1,1,1,0,1,1,9,1,0,1,1,1222
137105,200,0.0,2.3166666666666664,46051.2,8539.6,13769.4,5902.0,5275.0,69.4,8.8,10.0,0,0,0,0,0,0,0,0,0,0,0,1222
137106,100,0.0,1.0333333333333332,40002.6,7202.8,11651.8,5446.2,5524.0,54.0,9.2,9.0,1,0,0,0,0,0,0,0,0,0,0,1238
137106,200,1.0,0.9347619047619048,70648.2,9187.8,14131.6,8387.2,7406.6,89.8,22.6,11.8,0,1,0,0,1,0,5,0,0,2,0,1238
137107,100,1.0,3.3054653679653683,208982.8,27768.2,39059.0,17191.0,15424.0,183.6,37.4,18.0,1,1,1,0,1,0,8,3,1,4,0,2599
137107,200,0.0,2.5986111111111105,204614.2,32907.0,35949.0,16073.6,15585.0,185.6,37.0,17.4,0,0,0,1,0,0,8,1,1,1,0,2599
137108,100,1.0,2.175,136707.2,20926.8,25120.8,13397.8,12081.0,137.2,24.0,16.4,0,0,1,1,1,0,9,1,1,3,0,2124
137108,200,0.0,1.0409090909090908,124505.2,18660.0,26372.2,11238.0,10528.0,139.2,28.0,14.6,1,1,0,0,0,0,2,0,0,0,0,2124
137109,100,0.0,1.100952380952381,104791.6,18353.8,24840.0,10306.2,9914.0,142.8,17.4,14.6,0,0,0,0,0,0,0,0,0,1,0,1951
137109,200,1.0,1.1086580086580091,167605.8,20713.6,24571.6,14181.6,12442.0,156.4,30.0,16.4,1,1,1,1,1,1,9,1,2,3,1,1951
137110,100,0.0,3.695584415584416,176344.8,20044.2,33605.2,15388.0,14690.0,174.2,37.4,17.4,1,1,1,1,0,0,9,1,2,0,0,2473
137110,200,1.0,2.370757575757576,182724.4,24436.6,27199.6,15592.2,14585.0,165.2,34.0,18.0,0,0,0,0,1,0,6,1,0,5,0,2473
137111,100,0.0,1.8228571428571427,188593.4,24481.4,29226.8,14937.6,14167.2,173.8,29.4,17.2,0,0,0,1,1,0,2,0,1,4,0,2407
137111,200,1.0,1.2305555555555556,171109.2,24890.2,33252.4,15993.8,14555.0,173.2,16.6,17.0,1,1,1,0,0,1,10,4,1,1,1,2407
